CustomerID,Avg-Order-Value,Tenure-Months,Orders-12Mos,Coupons-Issued-12Mos,Discount-Usage-Rate,Days-Since-Last-Purchase,Referral-Count,Website-Logins-30D,Website-Visit-Time-Min,Paid-Ads-Responses-12Mos,Apparel-Orders-12Mos,Home-Goods-Orders-12Mos,Electronics-Orders-12Mos,Target-Value,Target-Ref
1075,66,16,7,6,0.74,11,2,6,19,3,2,2,3,1,Discount-Responsive
1076,68,20,6,9,0.752,6,1,5,8,7,5,0,1,1,Discount-Responsive
1077,72,6,3,7,0.777,10,2,5,21,2,1,1,1,1,Discount-Responsive
1078,64,34,7,11,0.771,15,2,6,15,3,1,5,1,1,Discount-Responsive
1079,71,27,3,9,0.777,15,1,5,7,2,1,2,0,1,Discount-Responsive
1080,72,14,7,4,0.749,31,2,7,13,1,3,3,1,1,Discount-Responsive
1081,145,75,9,5,0.222,20,7,4,18,3,1,1,7,3,Advocate Likely
1082,110,33,9,1,0.064,21,2,12,37,0,0,0,9,2,Ready to Buy
1083,70,6,6,8,0.777,28,1,5,26,4,3,2,1,1,Discount-Responsive
1084,105,52,4,6,0.088,5,1,9,36,3,0,0,7,2,Ready to Buy
1085,64,12,4,6,0.73,20,1,7,20,1,2,2,0,1,Discount-Responsive
1086,44,19,4,6,0.223,42,2,4,11,4,1,2,1,0,Considering Purchase
1087,142,56,9,3,0.219,3,7,8,20,0,1,1,7,3,Advocate Likely
1088,108,26,4,0,0.086,3,1,8,36,5,0,3,7,2,Ready to Buy
1089,39,28,4,7,0.206,21,2,5,8,3,0,3,1,0,Considering Purchase
1090,43,25,2,2,0.238,44,1,8,17,4,0,2,0,0,Considering Purchase
1091,64,31,5,10,0.736,12,2,7,6,2,4,1,0,1,Discount-Responsive
1092,64,30,3,11,0.736,5,2,9,9,1,2,0,1,1,Discount-Responsive
1093,72,24,4,7,0.762,29,1,4,19,2,2,2,0,1,Discount-Responsive
1094,69,21,4,12,0.749,9,2,8,7,4,1,2,1,1,Discount-Responsive
1095,108,37,5,2,0.078,6,2,7,31,1,0,1,8,2,Ready to Buy
1096,67,36,9,6,0.716,17,1,9,10,6,3,4,2,1,Discount-Responsive
1097,142,16,12,0,0.231,10,8,8,21,3,1,2,9,3,Advocate Likely
1098,69,16,5,8,0.704,5,1,8,17,3,5,0,0,1,Discount-Responsive
1099,111,34,8,1,0.063,25,1,9,32,3,0,3,7,2,Ready to Buy
1100,108,27,5,2,0.062,10,1,9,31,3,0,0,7,2,Ready to Buy
1101,65,23,7,9,0.776,14,1,6,12,7,3,2,2,1,Discount-Responsive
1102,72,30,3,7,0.765,18,2,3,19,5,2,1,0,1,Discount-Responsive
1103,110,59,6,1,0.091,23,1,10,32,1,1,0,6,2,Ready to Buy
1104,45,30,7,6,0.195,20,2,3,10,1,2,3,2,0,Considering Purchase
1105,72,12,3,5,0.778,13,2,9,12,4,1,2,0,1,Discount-Responsive
1106,145,53,7,2,0.211,9,7,7,19,2,1,1,5,3,Advocate Likely
1107,108,35,11,0,0.064,21,2,10,34,2,0,2,9,2,Ready to Buy
1108,105,47,11,4,0.093,17,2,9,32,3,1,3,8,2,Ready to Buy
1109,66,34,9,7,0.741,8,2,6,13,4,4,5,0,1,Discount-Responsive
1110,67,21,8,11,0.747,14,2,6,19,4,6,2,0,1,Discount-Responsive
1111,45,12,4,2,0.21,32,2,5,11,4,1,2,1,0,Considering Purchase
1112,68,22,6,9,0.76,25,2,5,19,3,6,0,0,1,Discount-Responsive
1113,110,14,4,2,0.078,14,1,11,31,2,0,1,8,2,Ready to Buy
1114,70,12,9,4,0.717,29,2,5,22,5,6,2,1,1,Discount-Responsive
1115,70,33,6,10,0.716,28,2,4,15,3,1,4,1,1,Discount-Responsive
1116,145,26,7,3,0.203,12,7,5,19,2,1,2,4,3,Advocate Likely
1117,70,17,6,13,0.734,8,2,9,20,6,5,1,0,1,Discount-Responsive
1118,144,80,8,3,0.231,17,8,12,22,4,2,2,4,3,Advocate Likely
1119,111,12,12,1,0.068,5,1,8,34,1,3,3,8,1,Discount-Responsive
1120,143,72,7,3,0.233,6,7,10,19,3,0,0,7,1,Discount-Responsive
1121,108,15,7,2,0.067,15,1,9,37,0,0,2,6,2,Ready to Buy
1122,108,59,5,2,0.063,11,1,9,35,1,0,1,8,2,Ready to Buy
1123,110,25,10,1,0.072,20,2,10,36,4,1,1,8,2,Ready to Buy
1124,139,44,8,5,0.213,1,8,9,21,2,2,1,5,3,Advocate Likely
1125,106,19,12,3,0.076,2,1,10,31,3,2,2,8,2,Ready to Buy
1126,68,30,4,14,0.752,5,1,2,18,3,3,0,1,1,Discount-Responsive
1127,111,16,10,0,0.081,15,1,9,36,3,1,3,7,2,Ready to Buy
1128,45,20,6,3,0.224,23,2,8,19,1,2,3,1,0,Considering Purchase
1129,45,20,2,7,0.199,24,2,4,5,1,1,0,1,0,Considering Purchase
1130,109,36,5,1,0.076,7,2,8,32,0,0,0,6,2,Ready to Buy
1131,110,33,7,1,0.095,11,1,10,37,2,0,1,7,2,Ready to Buy
1132,45,11,5,3,0.245,11,2,1,9,0,2,1,2,0,Considering Purchase
1133,106,22,9,0,0.089,6,1,11,31,1,1,1,7,2,Ready to Buy
1134,109,9,7,0,0.062,10,1,8,33,1,1,3,7,2,Ready to Buy
1135,44,30,5,6,0.208,28,1,4,8,0,3,2,0,0,Considering Purchase
1136,139,39,10,3,0.24,12,7,6,21,1,1,1,8,3,Advocate Likely
1137,41,28,4,3,0.22,40,2,3,18,3,2,1,1,0,Considering Purchase
1138,71,7,4,14,0.742,25,1,9,17,3,2,2,0,1,Discount-Responsive
1139,141,32,6,1,0.237,11,7,9,20,1,4,0,2,3,Advocate Likely
1140,72,28,5,6,0.755,9,2,8,8,4,3,2,0,1,Discount-Responsive
1141,67,13,9,8,0.755,14,2,6,16,3,4,4,1,1,Discount-Responsive
1142,141,44,8,3,0.224,8,8,9,18,0,2,1,5,3,Advocate Likely
1143,65,19,9,3,0.725,19,2,7,16,3,7,2,0,1,Discount-Responsive
1144,106,38,11,1,0.079,26,1,10,37,0,1,1,9,2,Ready to Buy
1145,110,14,11,0,0.079,18,2,9,35,0,0,3,8,2,Ready to Buy
1146,39,4,5,6,0.237,15,2,3,4,2,0,3,2,0,Considering Purchase
1147,141,26,12,2,0.234,19,7,7,19,2,2,1,9,3,Advocate Likely
1148,143,50,12,4,0.216,16,7,9,18,1,1,2,9,3,Advocate Likely
1149,110,36,11,2,0.093,4,1,7,37,1,1,0,10,2,Ready to Buy
1150,40,10,5,4,0.229,24,1,4,15,2,2,3,0,0,Considering Purchase
1151,68,13,4,10,0.721,15,2,5,15,6,4,0,0,1,Discount-Responsive
1152,111,20,7,2,0.097,8,2,5,32,3,0,4,7,2,Ready to Buy
1153,107,29,11,0,0.083,1,1,10,37,1,1,4,7,2,Ready to Buy
1154,41,10,5,2,0.242,40,1,6,3,2,1,3,1,0,Considering Purchase
1155,107,13,10,4,0.08,12,2,11,36,5,1,1,8,2,Ready to Buy
1156,142,22,14,0,0.22,13,8,9,18,2,3,4,7,3,Advocate Likely
1157,64,32,3,12,0.73,22,2,6,9,5,3,0,0,1,Discount-Responsive
1158,106,32,12,1,0.06,13,1,13,34,1,1,3,8,2,Ready to Buy
1159,65,30,7,7,0.723,1,1,3,22,3,3,4,0,1,Discount-Responsive
1160,140,75,8,3,0.218,7,8,9,21,0,2,1,5,3,Advocate Likely
1161,145,18,6,4,0.207,7,7,8,18,1,0,0,6,3,Advocate Likely
1162,143,32,8,2,0.221,23,7,10,19,0,1,1,6,3,Advocate Likely
1163,42,18,4,7,0.238,33,2,2,9,2,1,3,0,0,Considering Purchase
1164,107,45,6,4,0.089,11,1,10,33,4,0,2,6,2,Ready to Buy
1165,105,53,8,5,0.087,17,1,7,32,0,3,3,8,2,Ready to Buy
1166,105,58,5,5,0.095,10,2,10,33,3,1,0,7,2,Ready to Buy
1167,65,8,5,6,0.761,28,1,7,10,2,2,3,0,1,Discount-Responsive
1168,65,6,5,12,0.762,19,2,7,15,2,3,2,0,1,Discount-Responsive
1169,42,17,7,5,0.226,40,2,8,21,5,1,3,3,0,Considering Purchase
1170,144,82,12,1,0.21,14,7,4,20,4,4,0,8,3,Advocate Likely
1171,111,21,5,3,0.089,8,1,9,34,2,0,0,6,2,Ready to Buy
1172,68,27,2,12,0.739,21,2,5,11,7,0,2,0,1,Discount-Responsive
1173,40,5,4,6,0.248,21,2,6,2,5,0,3,1,0,Considering Purchase
1174,106,47,12,1,0.096,16,1,12,36,1,0,3,9,2,Ready to Buy
1175,144,60,6,1,0.231,8,7,10,19,0,1,0,5,3,Advocate Likely
1176,110,23,7,2,0.091,12,2,9,32,4,0,0,7,2,Ready to Buy
1177,44,3,4,3,0.241,22,2,5,11,2,0,4,0,0,Considering Purchase
1178,43,19,1,4,0.214,27,1,6,10,0,1,0,0,0,Considering Purchase
1179,66,15,3,9,0.754,14,1,6,12,2,2,1,0,1,Discount-Responsive
1180,71,9,6,11,0.744,13,1,6,13,4,4,2,0,1,Discount-Responsive
1181,109,15,10,0,0.071,14,1,12,33,3,0,2,8,2,Ready to Buy
1182,145,22,11,1,0.221,5,8,4,19,4,3,2,6,3,Advocate Likely
1183,107,52,7,2,0.071,17,1,13,31,3,0,0,7,2,Ready to Buy
1184,109,44,6,4,0.083,12,2,8,33,1,0,1,8,2,Ready to Buy
1185,44,23,1,4,0.204,23,2,5,14,0,0,0,1,0,Considering Purchase
1186,106,28,6,2,0.085,1,2,11,31,1,1,1,6,2,Ready to Buy
1187,111,23,10,2,0.088,3,2,10,31,4,1,3,8,2,Ready to Buy
1188,111,54,5,3,0.071,14,1,10,34,2,0,0,8,2,Ready to Buy
1189,43,18,6,4,0.226,44,1,8,4,2,1,4,1,0,Considering Purchase
1190,44,5,5,4,0.237,15,1,4,7,5,2,3,0,0,Considering Purchase
1191,145,78,6,3,0.235,16,7,5,19,4,0,2,4,3,Advocate Likely
1192,109,36,6,6,0.062,11,1,4,34,3,1,0,6,2,Ready to Buy
1193,109,45,5,3,0.096,4,2,4,32,1,1,1,8,2,Ready to Buy
1194,140,74,10,1,0.203,13,8,9,19,1,2,1,7,2,Ready to Buy
1195,41,9,5,7,0.211,38,2,4,11,1,2,2,1,0,Considering Purchase
1196,67,13,8,3,0.754,25,1,5,13,8,6,1,1,1,Discount-Responsive
1197,141,59,14,5,0.228,1,8,5,20,1,3,3,8,2,Ready to Buy
1198,111,59,11,2,0.064,13,1,10,35,3,0,5,6,2,Ready to Buy
1199,110,56,4,6,0.068,6,1,11,33,4,1,1,8,2,Ready to Buy
1200,72,33,5,12,0.735,17,2,7,20,5,0,4,1,1,Discount-Responsive
1201,72,12,5,3,0.745,16,2,5,22,2,4,1,0,1,Discount-Responsive
1202,40,14,3,4,0.211,18,2,4,19,4,1,1,1,0,Considering Purchase
1203,110,28,8,2,0.097,14,2,12,32,0,2,2,6,2,Ready to Buy
1204,141,24,7,2,0.232,13,8,8,21,2,0,0,7,2,Ready to Buy
1205,39,26,5,1,0.221,26,1,6,15,4,0,5,0,0,Considering Purchase
1206,68,17,4,10,0.723,18,2,6,16,8,2,2,0,1,Discount-Responsive
1207,108,34,8,2,0.088,8,1,11,31,4,0,3,6,2,Ready to Buy
1208,64,7,6,8,0.76,26,1,4,7,4,3,2,1,1,Discount-Responsive
1209,108,24,11,1,0.069,9,2,7,36,2,1,3,7,2,Ready to Buy
1210,105,9,10,4,0.086,13,2,8,35,3,0,0,10,2,Ready to Buy
1211,105,39,6,0,0.079,11,1,8,35,2,1,1,8,2,Ready to Buy
1212,140,78,8,2,0.236,1,7,11,21,1,3,0,5,2,Ready to Buy
1213,70,36,5,8,0.771,14,1,3,14,2,0,5,0,1,Discount-Responsive
1214,64,31,5,8,0.741,18,2,7,17,6,4,0,1,1,Discount-Responsive
1215,144,12,9,2,0.223,4,7,9,20,2,1,3,5,3,Advocate Likely
1216,144,80,10,0,0.223,11,7,6,22,4,1,2,7,2,Ready to Buy
1217,42,4,7,2,0.199,19,2,5,14,1,0,7,0,0,Considering Purchase
1218,142,22,12,2,0.225,16,8,7,19,2,2,0,10,3,Advocate Likely
1219,108,60,4,2,0.06,21,2,13,34,1,1,2,7,3,Advocate Likely
1220,64,12,8,3,0.723,8,2,7,7,4,3,3,2,1,Discount-Responsive
1221,42,4,6,2,0.235,15,1,4,17,2,2,3,1,0,Considering Purchase
1222,110,31,10,0,0.065,1,2,12,32,0,0,3,7,3,Advocate Likely
1223,40,14,3,0,0.202,31,1,5,6,2,0,3,0,0,Considering Purchase
1224,143,81,8,3,0.225,14,7,10,19,2,1,2,5,3,Advocate Likely
1225,69,13,8,12,0.769,27,1,5,12,3,5,2,1,1,Discount-Responsive
1226,70,19,7,11,0.724,25,1,7,25,5,5,2,0,1,Discount-Responsive
1227,110,14,5,3,0.091,20,1,10,32,0,0,2,8,3,Advocate Likely
1228,141,78,7,0,0.203,20,8,12,22,4,2,0,5,3,Advocate Likely
1229,139,32,12,3,0.21,7,8,10,22,0,1,1,10,3,Advocate Likely
1230,106,48,6,3,0.073,8,1,7,31,2,1,1,6,3,Advocate Likely
1231,110,11,10,3,0.078,6,1,10,35,3,0,4,8,3,Advocate Likely
1232,109,29,9,0,0.095,15,1,7,34,4,1,1,8,3,Advocate Likely
1233,141,61,15,2,0.213,28,8,4,19,3,3,3,9,3,Advocate Likely
1234,142,64,9,3,0.207,5,7,11,22,1,1,0,8,3,Advocate Likely
1235,144,74,7,3,0.224,15,7,9,22,0,2,2,3,3,Advocate Likely
1236,143,38,6,1,0.203,5,8,10,18,4,2,1,3,3,Advocate Likely
1237,39,25,5,3,0.218,50,1,3,15,2,2,2,1,0,Considering Purchase
1238,144,55,6,0,0.215,14,7,7,19,2,0,3,3,3,Advocate Likely
1239,140,26,8,1,0.231,7,7,8,19,2,3,0,5,3,Advocate Likely
1240,139,61,12,0,0.223,18,8,9,22,4,1,1,10,3,Advocate Likely
1241,143,38,12,2,0.236,13,8,8,18,3,1,1,10,3,Advocate Likely
1242,41,29,5,2,0.203,36,2,4,10,2,1,3,1,0,Considering Purchase
1243,72,11,2,12,0.709,18,2,3,10,6,1,1,0,1,Discount-Responsive
1244,144,17,7,3,0.232,1,7,7,18,2,2,2,3,3,Advocate Likely
1245,45,12,6,2,0.238,34,2,6,5,1,1,4,1,0,Considering Purchase
1246,108,14,11,0,0.084,19,1,9,35,3,0,3,8,2,Ready to Buy
1247,105,38,12,6,0.09,11,1,7,35,0,2,1,9,2,Ready to Buy
1248,145,61,12,3,0.237,15,8,10,20,0,2,3,7,3,Advocate Likely
1249,139,28,8,5,0.223,1,8,7,22,0,2,1,5,3,Advocate Likely
1250,144,40,6,0,0.239,10,8,10,18,2,2,1,3,3,Advocate Likely
1251,143,21,14,4,0.22,1,7,5,19,2,4,2,8,3,Advocate Likely
1252,139,73,6,3,0.228,11,8,9,22,4,0,1,5,3,Advocate Likely
1253,108,24,4,3,0.075,2,1,5,37,4,0,3,8,2,Ready to Buy
1254,40,10,5,1,0.213,13,2,7,14,4,0,3,2,0,Considering Purchase
1255,67,21,6,9,0.742,13,1,7,23,5,4,2,0,1,Discount-Responsive
1256,141,52,14,2,0.231,4,8,7,19,2,2,1,11,3,Advocate Likely
1257,143,46,6,3,0.204,11,7,8,18,1,3,0,3,3,Advocate Likely
1258,110,57,5,2,0.07,13,2,8,34,3,2,2,6,2,Ready to Buy
1259,111,49,5,4,0.078,10,2,6,32,4,0,0,8,2,Ready to Buy
1260,39,4,4,3,0.21,29,1,4,19,4,1,1,2,0,Considering Purchase
1261,143,63,7,0,0.232,24,7,5,19,0,3,0,4,3,Advocate Likely
1262,70,19,4,4,0.762,14,1,7,18,3,3,0,1,1,Discount-Responsive
1263,143,74,6,4,0.239,3,8,9,22,2,1,2,3,3,Advocate Likely
1264,110,22,11,2,0.096,4,1,9,33,4,0,3,8,2,Ready to Buy
1265,140,24,9,3,0.23,5,7,9,22,1,2,2,5,3,Advocate Likely
1266,108,18,7,3,0.079,15,1,13,34,3,1,0,6,2,Ready to Buy
1267,139,51,9,3,0.223,1,8,9,22,2,1,0,8,3,Advocate Likely
1268,140,22,13,3,0.232,15,7,8,20,2,1,0,12,3,Advocate Likely
1269,142,19,14,3,0.228,1,8,8,22,0,1,0,13,3,Advocate Likely
1270,107,31,5,2,0.068,12,1,7,37,1,0,1,8,2,Ready to Buy
1271,66,26,5,10,0.757,21,2,8,22,8,4,1,0,1,Discount-Responsive
1272,139,35,8,0,0.239,8,8,5,20,3,0,2,6,3,Advocate Likely
1273,143,72,11,0,0.216,12,8,8,22,1,1,2,8,3,Advocate Likely
1274,140,77,6,2,0.208,6,8,9,20,2,0,0,6,3,Advocate Likely
1275,139,20,11,3,0.205,13,8,8,18,4,2,3,6,3,Advocate Likely
1276,44,22,4,6,0.246,32,1,5,18,0,1,2,1,0,Considering Purchase
1277,43,27,4,4,0.231,18,1,6,4,3,2,1,1,0,Considering Purchase
1278,142,65,13,4,0.205,7,8,5,18,1,3,3,7,3,Advocate Likely
1279,139,16,11,1,0.206,23,8,5,18,3,2,1,8,3,Advocate Likely
1280,109,27,5,1,0.094,12,2,4,36,1,1,1,8,2,Ready to Buy
1281,144,35,13,1,0.215,8,7,9,21,3,0,1,12,3,Advocate Likely
1282,145,75,6,2,0.225,16,8,10,18,0,1,0,5,3,Advocate Likely
1283,140,64,13,2,0.228,6,8,9,20,2,3,1,9,3,Advocate Likely
1284,110,51,6,3,0.084,7,2,11,35,3,0,0,7,2,Ready to Buy
1285,72,10,5,9,0.721,12,2,4,5,1,5,0,0,1,Discount-Responsive
1286,109,59,4,3,0.079,7,1,13,34,4,1,0,7,2,Ready to Buy
1287,142,70,5,1,0.235,21,7,8,20,4,2,2,1,3,Advocate Likely
1288,45,18,6,4,0.208,26,2,1,8,1,3,3,0,0,Considering Purchase
1289,140,35,6,4,0.22,19,8,5,21,1,1,0,5,3,Advocate Likely
1290,143,45,13,1,0.239,20,8,9,19,0,2,0,11,3,Advocate Likely
1291,140,33,7,5,0.22,7,7,9,19,3,0,2,5,3,Advocate Likely
1292,72,15,6,9,0.714,23,1,8,10,5,5,1,0,1,Discount-Responsive
1293,105,48,7,5,0.07,16,2,13,34,0,0,4,8,2,Ready to Buy
1294,111,35,12,4,0.083,2,2,4,31,3,1,2,9,2,Ready to Buy
1295,72,25,2,11,0.734,12,1,10,16,4,1,1,0,1,Discount-Responsive
1296,141,70,13,2,0.239,15,8,5,21,1,1,1,11,3,Advocate Likely
1297,108,25,8,1,0.085,15,2,5,33,3,1,3,6,2,Ready to Buy
1298,141,12,10,2,0.221,3,8,11,18,2,0,3,7,3,Advocate Likely
1299,45,29,5,0,0.24,39,1,6,12,0,1,4,0,0,Considering Purchase
1300,144,64,10,3,0.221,8,8,9,21,1,2,3,5,3,Advocate Likely
