CustomerID,Tenure-Months,Orders-12Mos,Avg-Order-Value,Discount-Usage-Rate,Days-Since-Last-Purchase,Referral-Count,Target-Value,Target-Ref
1088,70,8,66,0.302,24,6,3,Advocate Likely
1089,49,12,57,0.218,2,6,3,Advocate Likely
1090,19,6,64,0.481,37,0,0,Considering Purchase
1091,24,6,105,0.153,16,1,2,Ready to Buy
1092,55,7,155,0.266,10,7,3,Advocate Likely
1093,10,9,91,0.0,17,0,2,Ready to Buy
1094,21,5,25,0.8,13,1,1,Discount-Responsive
1095,16,4,79,0.31,43,1,0,Considering Purchase
1096,20,7,68,0.677,22,1,1,Discount-Responsive
1097,26,4,31,0.743,9,1,1,Discount-Responsive
1098,68,6,69,0.045,8,4,3,Advocate Likely
1099,17,6,82,0.506,11,2,1,Discount-Responsive
1100,55,7,128,0.095,26,0,2,Ready to Buy
1101,28,5,48,0.548,1,1,1,Discount-Responsive
1102,28,9,70,0.138,15,3,2,Ready to Buy
1103,20,8,98,0.234,9,2,2,Ready to Buy
1104,51,9,86,0.268,28,2,2,Ready to Buy
1105,10,6,41,0.501,6,1,1,Discount-Responsive
1106,23,4,46,0.774,21,2,1,Discount-Responsive
1107,8,5,65,0.565,26,0,0,Considering Purchase
1108,11,4,75,0.377,14,1,0,Considering Purchase
1109,24,5,49,0.327,22,0,0,Considering Purchase
1110,7,3,83,0.444,42,1,0,Considering Purchase
1111,20,2,48,0.719,13,0,1,Discount-Responsive
1112,36,4,80,0.614,20,2,1,Discount-Responsive
1113,27,8,68,0.15,9,6,3,Advocate Likely
1114,10,6,75,0.047,9,3,2,Ready to Buy
1115,28,11,93,0.123,19,2,2,Ready to Buy
1116,26,9,60,0.154,19,3,3,Advocate Likely
1117,38,6,89,0.115,28,2,2,Ready to Buy
1118,20,7,58,0.778,23,2,1,Discount-Responsive
1119,27,8,110,0.2,12,3,2,Ready to Buy
1120,43,5,138,0.307,3,7,3,Advocate Likely
1121,9,8,86,0.537,29,0,1,Discount-Responsive
1122,12,5,36,0.398,14,0,0,Considering Purchase
1123,35,4,84,0.589,13,0,1,Discount-Responsive
1124,6,3,51,0.305,51,1,0,Considering Purchase
1125,12,10,101,0.1,9,4,3,Advocate Likely
1126,6,6,39,0.198,45,1,0,Considering Purchase
1127,7,6,41,0.363,33,1,0,Considering Purchase
1128,22,3,53,0.368,28,0,0,Considering Purchase
1129,12,7,59,0.551,13,2,1,Discount-Responsive
1130,40,12,65,0.134,25,3,2,Ready to Buy
1131,24,5,86,0.197,1,4,2,Ready to Buy
1132,18,2,47,0.358,26,1,0,Considering Purchase
1133,60,8,150,0.298,13,3,3,Advocate Likely
1134,22,4,82,0.943,10,0,1,Discount-Responsive
1135,42,10,61,0.064,1,5,3,Advocate Likely
1136,41,15,88,0.302,1,3,3,Advocate Likely
1137,34,13,135,0.151,20,7,3,Advocate Likely
1138,18,4,74,0.769,18,0,1,Discount-Responsive
1139,34,8,108,0.103,15,3,2,Ready to Buy
1140,26,2,26,0.222,21,0,0,Considering Purchase
1141,50,6,86,0.316,2,7,3,Advocate Likely
1142,16,5,54,0.685,28,1,1,Discount-Responsive
1143,26,5,78,0.494,18,1,0,Considering Purchase
1144,14,6,87,0.71,20,1,1,Discount-Responsive
1145,10,5,67,0.372,39,1,0,Considering Purchase
1146,11,5,69,0.667,18,2,1,Discount-Responsive
1147,18,7,108,0.014,1,2,3,Advocate Likely
1148,23,5,88,0.285,35,0,0,Considering Purchase
1149,80,9,57,0.179,9,8,3,Advocate Likely
1150,47,9,114,0.075,21,0,2,Ready to Buy
1151,40,11,140,0.279,1,7,3,Advocate Likely
1152,21,3,75,0.463,12,0,1,Discount-Responsive
1153,24,14,58,0.102,13,5,3,Advocate Likely
1154,23,6,68,0.517,19,0,1,Discount-Responsive
1155,44,8,133,0.209,9,2,2,Ready to Buy
1156,11,7,124,0.002,7,2,2,Ready to Buy
1157,17,4,43,0.325,30,1,0,Considering Purchase
1158,10,3,34,0.24,38,0,0,Considering Purchase
1159,36,4,52,0.622,10,0,1,Discount-Responsive
1160,19,6,33,0.102,38,0,0,Considering Purchase
1161,22,14,88,0.172,2,7,3,Advocate Likely
1162,29,10,98,0.267,11,5,3,Advocate Likely
1163,52,12,142,0.149,16,3,2,Ready to Buy
1164,81,8,145,0.305,7,7,3,Advocate Likely
1165,8,5,73,0.726,21,1,1,Discount-Responsive
1166,12,13,134,0.144,18,3,2,Ready to Buy
1167,46,7,71,0.248,18,1,2,Ready to Buy
1168,29,5,59,0.603,22,0,1,Discount-Responsive
1169,69,11,63,0.157,1,2,3,Advocate Likely
1170,41,7,134,0.056,24,3,2,Ready to Buy
1171,24,6,55,0.103,28,1,0,Considering Purchase
1172,11,2,59,0.145,29,1,0,Considering Purchase
1173,74,14,136,0.092,16,6,3,Advocate Likely
1174,24,4,78,0.373,16,0,0,Considering Purchase
1175,26,3,67,0.547,20,0,1,Discount-Responsive
1176,36,4,68,0.54,22,2,1,Discount-Responsive
1177,36,12,79,0.0,3,1,2,Ready to Buy
1178,57,13,132,0.219,18,0,2,Ready to Buy
1179,33,2,57,0.618,5,1,1,Discount-Responsive
1180,30,10,89,0.166,9,2,2,Ready to Buy
1181,53,8,107,0.202,12,0,2,Ready to Buy
1182,10,8,84,0.515,13,2,1,Discount-Responsive
1183,20,6,53,0.776,1,2,1,Discount-Responsive
1184,35,9,124,0.102,19,2,2,Ready to Buy
1185,28,3,89,0.725,10,1,1,Discount-Responsive
1186,26,5,32,0.667,19,2,1,Discount-Responsive
1187,12,10,127,0.0,11,3,3,Advocate Likely
1188,7,4,60,0.436,20,0,0,Considering Purchase
1189,16,3,76,0.248,21,0,0,Considering Purchase
1190,12,3,51,0.392,23,1,0,Considering Purchase
1191,21,8,64,0.529,9,1,1,Discount-Responsive
1192,31,8,119,0.21,1,1,2,Ready to Buy
1193,20,9,143,0.107,13,2,3,Advocate Likely
1194,27,9,68,0.78,1,0,1,Discount-Responsive
1195,41,8,88,0.066,16,1,2,Ready to Buy
1196,53,6,125,0.073,17,0,2,Ready to Buy
1197,44,5,93,0.182,1,0,2,Ready to Buy
1198,31,8,63,0.244,19,3,3,Advocate Likely
1199,8,5,91,0.575,6,1,1,Discount-Responsive
1200,28,5,79,0.427,39,1,0,Considering Purchase
1201,43,9,63,0.38,1,4,3,Advocate Likely
1202,60,10,66,0.097,4,6,3,Advocate Likely
1203,35,4,93,0.883,12,2,1,Discount-Responsive
1204,26,7,30,0.721,5,1,1,Discount-Responsive
1205,28,5,69,0.432,31,1,0,Considering Purchase
1206,25,8,68,0.114,18,4,3,Advocate Likely
1207,12,6,42,0.457,10,0,0,Considering Purchase
1208,53,8,107,0.153,1,2,2,Ready to Buy
1209,43,7,70,0.072,6,0,2,Ready to Buy
1210,20,3,41,0.863,8,0,1,Discount-Responsive
1211,60,11,126,0.0,13,1,2,Ready to Buy
1212,7,2,69,0.345,34,1,0,Considering Purchase
1213,29,13,77,0.259,21,3,3,Advocate Likely
1214,81,13,104,0.262,14,4,3,Advocate Likely
1215,9,10,71,0.154,15,2,2,Ready to Buy
1216,11,7,81,0.518,18,0,0,Considering Purchase
1217,42,12,157,0.252,15,2,3,Advocate Likely
1218,31,5,57,0.617,19,1,1,Discount-Responsive
1219,73,5,104,0.371,4,8,3,Advocate Likely
1220,13,3,29,0.194,15,0,0,Considering Purchase
1221,33,7,113,0.093,14,2,2,Ready to Buy
1222,36,6,71,0.872,28,1,1,Discount-Responsive
1223,26,1,87,0.448,36,0,0,Considering Purchase
1224,75,8,99,0.3,2,4,3,Advocate Likely
1225,54,11,116,0.0,12,2,2,Ready to Buy
1226,3,2,56,0.307,42,0,0,Considering Purchase
1227,38,7,87,0.167,4,3,2,Ready to Buy
1228,67,8,66,0.011,8,4,3,Advocate Likely
1229,33,11,85,0.0,10,4,2,Ready to Buy
1230,8,4,37,0.386,26,1,0,Considering Purchase
1231,49,10,94,0.065,8,2,2,Ready to Buy
1232,10,5,64,0.231,23,0,0,Considering Purchase
1233,23,4,90,0.641,20,2,1,Discount-Responsive
1234,11,3,86,0.606,4,1,1,Discount-Responsive
1235,29,6,45,0.321,18,0,0,Considering Purchase
1236,35,3,75,0.758,28,2,1,Discount-Responsive
1237,45,7,81,0.113,11,2,2,Ready to Buy
1238,44,13,73,0.03,8,1,2,Ready to Buy
1239,28,3,35,0.8,14,1,1,Discount-Responsive
1240,47,11,114,0.319,16,4,3,Advocate Likely
1241,18,8,37,0.476,17,2,1,Discount-Responsive
1242,13,5,66,0.238,27,1,0,Considering Purchase
1243,11,12,156,0.051,8,0,2,Ready to Buy
1244,15,3,61,0.482,31,1,0,Considering Purchase
1245,40,9,81,0.165,27,1,2,Ready to Buy
1246,28,5,76,0.544,32,0,0,Considering Purchase
1247,28,3,55,0.298,23,1,0,Considering Purchase
1248,47,7,129,0.198,27,1,2,Ready to Buy
1249,30,4,39,0.525,29,1,0,Considering Purchase
1250,57,7,120,0.077,1,2,2,Ready to Buy
1251,27,2,66,0.444,48,0,0,Considering Purchase
1252,15,2,35,0.306,33,0,0,Considering Purchase
1253,54,7,88,0.173,18,2,2,Ready to Buy
1254,20,7,106,0.324,17,7,3,Advocate Likely
1255,10,5,79,0.662,10,0,1,Discount-Responsive
1256,21,6,133,0.171,10,2,2,Ready to Buy
1257,42,4,136,0.242,11,1,2,Ready to Buy
1258,11,5,64,0.183,20,1,0,Considering Purchase
1259,14,5,99,0.069,6,3,2,Ready to Buy
1260,14,6,50,0.182,45,0,0,Considering Purchase
1261,23,8,127,0.283,1,2,3,Advocate Likely
1262,17,3,42,0.372,21,0,0,Considering Purchase
1263,29,2,33,0.859,8,0,1,Discount-Responsive
1264,47,8,80,0.148,17,1,2,Ready to Buy
1265,32,11,111,0.114,5,0,2,Ready to Buy
1266,18,7,60,0.323,32,1,0,Considering Purchase
1267,34,13,78,0.073,12,0,2,Ready to Buy
1268,83,6,68,0.174,3,6,3,Advocate Likely
1269,27,13,110,0.258,25,3,3,Advocate Likely
1270,35,13,126,0.181,3,1,2,Ready to Buy
1271,31,5,40,0.62,19,1,1,Discount-Responsive
1272,30,6,70,0.735,24,2,1,Discount-Responsive
1273,13,15,66,0.0,3,2,3,Advocate Likely
1274,26,10,76,0.248,15,2,2,Ready to Buy
1275,83,10,156,0.277,6,3,3,Advocate Likely
1276,36,9,50,0.947,4,0,1,Discount-Responsive
1277,30,6,76,0.234,36,0,0,Considering Purchase
1278,36,4,77,0.663,17,0,1,Discount-Responsive
1279,50,14,135,0.159,11,8,3,Advocate Likely
1280,22,4,55,0.742,15,0,1,Discount-Responsive
1281,26,7,147,0.102,26,0,2,Ready to Buy
1282,43,5,151,0.315,13,8,3,Advocate Likely
1283,8,2,34,0.956,20,2,1,Discount-Responsive
1284,30,6,74,0.187,31,0,0,Considering Purchase
1285,80,10,73,0.282,19,4,3,Advocate Likely
1286,23,3,57,0.514,12,0,1,Discount-Responsive
1287,32,6,48,0.482,17,1,1,Discount-Responsive
1288,6,2,70,0.356,28,1,0,Considering Purchase
1289,9,5,59,0.385,33,0,0,Considering Purchase
1290,13,3,71,0.284,41,1,0,Considering Purchase
1291,30,9,123,0.11,6,0,2,Ready to Buy
1292,5,3,86,0.206,42,0,0,Considering Purchase
1293,81,14,119,0.185,6,4,3,Advocate Likely
1294,14,6,22,0.423,19,0,0,Considering Purchase
1295,30,2,79,0.391,33,0,0,Considering Purchase
1296,7,8,49,0.654,9,1,1,Discount-Responsive
1297,9,8,60,0.785,17,2,1,Discount-Responsive
1298,26,3,66,0.574,15,2,1,Discount-Responsive
1299,22,1,51,0.52,48,0,0,Considering Purchase
1300,14,6,65,0.498,33,1,0,Considering Purchase
